Essay,Score,University,Rater 1,Rater 2
"Small wind turbine can operate fine with just 1 blade because of the centrifugal force generated by that blade is relatively small and the rotor can handle that. For large wind power turbine with long and relatively heavy blade, the centrifugal force from only 1 blade could be enough to cause a major damage to the rotor due to large amount of force and vibration since the blade behaves similar to an unbalanced mass. By installing multiple blade, the force from each blade will cancel each other and thus total force in the rotor is reduced.",2,ITB,2,
"If wind turbine have more than 3 blades, then the weight will increase. This condition can affect of physical strength decrease. After that, wind turbine can fail when it operated. This can make risk of damage to the rotor blades.",1,ITB,1,
"In large wind turbines, the radial length from the rotor blade tip to the rotor axis of rotation is also longer. The longer the radial length - taking into account constant angular velocity - produces higher torque as well. That is why for large wind turbines, we don't need that much of rotor blades because the torque produced by each rotor blade is sufficient already ",0,ITB,0,
"A combination of structural and economic considerations drives the use of three slender blades on most wind turbines. 2 or 3 blades means that the angular momentum would stay constant with one blade pointing upwards, the other two pointing at an angle.  ",0,ITB,0,
The torque need to rotate the blade at large wind turbine is big so large wind turbine need more than one blade to increase the stability of rotation.,0,ITB,0,
"Because big inertia of rotor, if we use more than three, the stress of the shaft will be huge",0,ITB,0,
"Because large turbine usually has more focused on length of the blade rather the amounf of blade the turbine has. Since large turbine usually has more longer blade so to give the optimum spaces for the blades, the total amount of blades should be fewer.",0,ITB,0,
"First because if there any failure or damage for example like the blade fell to the ground, this accident can be very dangerous to people around there. And the second one, due to large wind power generation turbine have a big cost of investation, so if there any failure happen, it can lead to loss (in the term of money)",0,ITB,0,
"Large wind power generation turbines normally have two or three blades to keep it balanced while rotating. In addition, with 2 or 3 blades, the turbine can survive in big winds because it can move slower, compared if the blades is only one, so that the damage can be minimized while the power generated from the turbine is still adequate.",2,SU,2,2
"A large turbine would require a larger blades to generate the rotor. A larger blade is considered for absorbing a larger amount of forces from the wind velocity, convert it into drag forces and torque. Adding more of this LARGE blades would result into more energy or force requirement in rotating the mechanism, therefore there are only 2-3 blades for a large wind power. smaller wind power instead, they are focusing on the angular velocity that should be created in generating the rotor. Therefore, they have a lighter blade, yet also much more than the larger one.",1,SU,1,0
"The rotor blades in a large wind turbine will resist much more wind force against it due to their wide area. Besides, a long rotor blade will have to resist a huge bending moment since its perpendicular distance of the wind force is very long. Therefore, large turbines will have a higher risk of failure in the rotor blades.",1,SU,1,1
"The high number of blades increases the weight of the system. If the system is too heavy, it can produce higher stress which leads to failure. Furthermore, high number of blades increases production cost",1,SU,1,1
"A large turbine surely has a high pillar or pole. If the pillar carries too heavy and large blades, it can break the pillar easily. Therefore, it has a higher risk of failure in the structure because of the height itself. Besides, maintenance will be harder to take if there are more than 3 blades in the large wind power generation turbines.",1,SU,1,1
This is the case to minimize possible defects on the rotor blades that may lead to failure.,1,SU,0,1
"Three blades are chosen because it is related to the drag generated as the wind face the blades. More blades will increase the drag force. In addition, having more blades will increase the risk of collapse caused by their weight. Moreover, having more blades makes the air instead of passing through the blade and making the lift force, the air will cause turbulence. ",1,SU,1,1
larger wind power generator means that the working radius is larger also. It means that the rotor blades need more power by the wind to move them. Adding more blades could give a result to add more mass the the blades and a larger area of contact. A larger area of contact could be possibly to break the rotor blades.,0,SU,0,0
"The using of two or three rotor blades is whenever it is added by other rotor blades it will increasing the mass of the windmill because of the blades length which cause the inertia of the rotor blades and the windmill compare to the smaller blades of the smaller windmill. If the larger windmill added more blades on it, it will increase the total weight of the rotor blades.",0,SU,0,0
"Smaller wind power generation turbines has fewer rotor blade as they are relatively easier to rotate, however with large wind power generation turbine they have motor rotor blade to help it keep spinning and produce more power. ",0,SU,0,0
"Turbines with three blades are more stable, with more constant angular momentum. Furthermore, when one blade points up, the others point at an angle, causing the turbine to rotate more smoothly in the wind.
While turbine that has 1 blade is inefficient and impractical",0,SU,0,0
"The longest we have the length will result in a higher moment of inertia. The energy produced will also be higher considering the speed of the blades. If the speed is too high, it will be dangerous. If the wind is too small, it will resulting in uneffective movement of the blades (because the speed is faster than the big one) and the energy produced will be smaller.",0,SU,0,1
A wind turbine is a device capable of converting wind energy into mechanical energy and then converting it into electrical energy through a generator. This wind turbine efficiency can be increased to get the maximum power coefficient. One of them is by using a large number of blades. This maximum system efficiency will increase the number of Watts (power) produced so that to get a certain number of watts it is enough to use a smaller number of windmills.,0,SU,0,0
